territorycode,netivcamt,standardized
East,31.2,-0.30940604
East,31.3,-0.309377954
East,31.4,-0.309349868
East,31.46,-0.309333016
East,31.5,-0.309321782
East,31.52,-0.309316165
East,31.6,-0.309293696
East,31.63,-0.30928527
East,31.68,-0.309271227
East,31.79,-0.309240332
East,31.8,-0.309237524
East,31.84,-0.309226289
East,31.9,-0.309209438
East,32,-0.309181352
East,32.16,-0.309136414
East,32.2,-0.309125179
East,32.24,-0.309113945
East,32.34,-0.309085859
East,32.4,-0.309069007
East,32.44,-0.309057773
East,32.5,-0.309040921
East,32.55,-0.309026878
East,32.56,-0.309024069
East,32.6,-0.309012835
East,32.67,-0.308993175
East,32.69,-0.308987558
East,32.7,-0.308984749
East,32.76,-0.308967897
East,32.8,-0.308956663
East,32.86,-0.308939811
East,33,-0.308900491
East,33.06,-0.308883639
East,33.08,-0.308878022
East,33.14,-0.30886117
East,33.18,-0.308849936
East,33.2,-0.308844318
East,33.22,-0.308838701
East,33.4,-0.308788146
East,33.46,-0.308771295
East,33.48,-0.308765677
East,33.5,-0.30876006
East,33.55,-0.308746017
East,33.6,-0.308731974
East,33.7,-0.308703888
East,33.72,-0.308698271
East,33.77,-0.308684228
East,33.8,-0.308675802
East,33.99,-0.308622438
East,34,-0.30861963
East,34.15,-0.308577501
East,34.2,-0.308563458
East,34.23,-0.308555032
East,34.38,-0.308512903
East,34.4,-0.308507285
East,34.44,-0.308496051
East,34.5,-0.308479199
East,34.52,-0.308473582
East,34.59,-0.308453922
East,34.6,-0.308451113
East,34.65,-0.30843707
East,34.66,-0.308434262
East,34.7,-0.308423027
East,34.75,-0.308408984
East,34.8,-0.308394941
East,34.86,-0.308378089
East,35.1,-0.308310683
East,35.16,-0.308293831
East,35.2,-0.308282597
East,35.28,-0.308260128
East,35.3,-0.308254511
East,35.4,-0.308226424
East,35.46,-0.308209573
East,35.5,-0.308198338
East,35.55,-0.308184295
East,35.6,-0.308170252
East,35.7,-0.308142166
East,35.9,-0.308085994
East,35.91,-0.308083185
East,35.92,-0.308080377
East,36,-0.308057908
East,36.1,-0.308029822
East,36.16,-0.30801297
East,36.2,-0.308001736
East,36.24,-0.307990501
East,36.26,-0.307984884
East,36.3,-0.30797365
East,36.38,-0.307951181
East,36.4,-0.307945564
East,36.41,-0.307942755
East,36.54,-0.307906243
East,36.6,-0.307889391
East,36.68,-0.307866923
East,36.7,-0.307861305
East,36.72,-0.307855688
East,36.8,-0.307833219
East,36.85,-0.307819176
East,36.9,-0.307805133
East,36.96,-0.307788281
East,37,-0.307777047
East,37.06,-0.307760195
East,37.15,-0.307734918
East,37.16,-0.307732109
East,37.2,-0.307720875
East,37.35,-0.307678746
East,37.46,-0.307647851
East,37.5,-0.307636617
East,37.56,-0.307619765
East,37.6,-0.30760853
East,37.7,-0.307580444
East,37.8,-0.307552358
East,37.84,-0.307541124
East,37.85,-0.307538315
East,37.9,-0.307524272
East,37.96,-0.307507421
East,38,-0.307496186
